timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-09-19,195221.73250000,195404.53517600,194530.86093400,194828.40766800,26762.50000000,26787.56000000,26667.79000000,26708.58000000,1688.19120000,1688.19120000
2023-09-18,193507.50150000,199937.69140000,192412.21731000,195221.80544600,26527.50000000,27409.00000000,26377.35000000,26762.51000000,43000.43256000,43000.43256000
2023-09-17,193742.16878200,194205.95945000,192570.14540000,193507.57444600,26559.67000000,26623.25000000,26399.00000000,26527.51000000,12998.10277000,12998.10277000
2023-09-16,194036.28705400,195327.50420000,192905.69700000,193742.16878200,26599.99000000,26777.00000000,26445.00000000,26559.67000000,13960.93351000,13960.93351000
2023-09-15,193472.70625800,196137.20480000,191293.59040000,194036.36000000,26522.73000000,26888.00000000,26224.00000000,26600.00000000,26227.29369000,26227.29369000
2023-09-14,191279.00120000,195936.53035400,190584.33644200,193472.70625800,26222.00000000,26860.49000000,26126.77000000,26522.73000000,38333.17250000,38333.17250000
2023-09-13,188493.19346000,192615.51781200,187939.31448200,191279.00120000,25840.10000000,26405.22000000,25764.17000000,26222.00000000,31610.82753000,31610.82753000
2023-09-12,183550.59133800,193795.63820000,183324.09400800,188493.19346000,25162.53000000,26567.00000000,25131.48000000,25840.10000000,56434.38537000,56434.38537000
2023-09-11,188504.13536000,188935.17327400,181642.83460000,183550.51839200,25841.60000000,25900.69000000,24901.00000000,25162.52000000,41682.32000000,41682.32000000
2023-09-10,188941.81136000,189905.13623600,186527.07992200,188504.20830600,25901.60000000,26033.66000000,25570.57000000,25841.61000000,18738.26914000,18738.26914000
2023-09-09,189006.73330000,189259.05351400,188176.17014400,188941.88430600,25910.50000000,25945.09000000,25796.64000000,25901.61000000,10980.62277000,10980.62277000
2023-09-08,191519.72300000,192909.34430000,187086.50279600,189006.73330000,26255.00000000,26445.50000000,25647.26000000,25910.50000000,28999.76471000,28999.76471000
2023-09-07,187908.53127000,192892.12904400,186853.95094800,191519.72300000,25759.95000000,26443.14000000,25615.38000000,26255.00000000,27687.49567000,27687.49567000
2023-09-06,188143.12560600,189951.38400000,185082.31144600,187908.53127000,25792.11000000,26040.00000000,25372.51000000,25759.95000000,27262.52386000,27262.52386000
2023-09-05,188390.55843800,189043.13335400,186469.08785200,188143.05266000,25826.03000000,25915.49000000,25562.62000000,25792.10000000,21323.39337000,21323.39337000
2023-09-04,189449.58846600,190447.56269200,186969.42446600,188390.48549200,25971.21000000,26108.02000000,25631.21000000,25826.02000000,21777.59609000,21777.59609000
2023-09-03,188707.80059200,190644.37100000,188200.68000000,189449.58846600,25869.52000000,26135.00000000,25800.00000000,25971.21000000,17474.47667000,17474.47667000
2023-09-02,188237.44478400,189568.41750000,187853.96766200,188707.72764600,25805.04000000,25987.50000000,25752.47000000,25869.51000000,16250.77698000,16250.77698000
2023-09-01,189227.54084200,190797.55760000,184799.57275000,188237.51773000,25940.77000000,26156.00000000,25333.75000000,25805.05000000,41032.15056000,41032.15056000
2023-08-31,199142.50705400,201239.85044600,187143.03594600,189227.61378800,27299.99000000,27587.51000000,25655.01000000,25940.78000000,51032.80401000,51032.80401000
2023-08-30,202179.61376400,202560.61072200,197079.95890400,199142.50705400,27716.34000000,27768.57000000,27017.24000000,27299.99000000,35448.25848000,35448.25848000
2023-08-29,190534.95200000,205290.83361000,189090.62120000,202179.61376400,26120.00000000,28142.85000000,25922.00000000,27716.34000000,74251.99488000,74251.99488000
2023-08-28,190402.04438800,191512.35545400,188671.18170000,190534.95200000,26101.78000000,26253.99000000,25864.50000000,26120.00000000,22692.62655000,22692.62655000
2023-08-27,189786.38014800,190988.89495800,189412.38600600,190401.97144200,26017.38000000,26182.23000000,25966.11000000,26101.77000000,12099.64216000,12099.64216000
2023-08-26,190097.27600000,190577.04184200,189556.89203200,189786.30720200,26060.00000000,26125.77000000,25985.92000000,26017.37000000,10022.22322000,10022.22322000
2023-08-25,190972.99273000,191950.46913000,188033.99839000,190097.34894600,26180.05000000,26314.05000000,25777.15000000,26060.01000000,27753.33772000,27753.33772000
2023-08-24,192816.04636600,193874.93050200,188667.53440000,190972.99273000,26432.71000000,26577.87000000,25864.00000000,26180.05000000,30205.22116000,30205.22116000
2023-08-23,190068.02465400,195635.84694200,188294.19677200,192816.11931200,26055.99000000,26819.27000000,25812.82000000,26432.72000000,44023.69978000,44023.69978000
2023-08-22,190585.43063200,190676.61313200,184553.38000000,190068.09760000,26126.92000000,26139.42000000,25300.00000000,26056.00000000,34247.06688000,34247.06688000
2023-08-21,191045.57400000,191544.67053200,188288.21520000,190585.43063200,26190.00000000,26258.42000000,25812.00000000,26126.92000000,30267.24233000,30267.24233000
2023-08-20,190389.13294600,191840.68540000,189448.42133000,191045.50105400,26100.01000000,26299.00000000,25971.05000000,26189.99000000,19056.91209000,19056.91209000
2023-08-19,190053.50840000,191709.38260000,188208.63111400,190389.13294600,26054.00000000,26281.00000000,25801.09000000,26100.01000000,26160.75343000,26160.75343000
2023-08-18,194207.12658600,195733.08396000,186880.35740000,190053.50840000,26623.41000000,26832.60000000,25619.00000000,26054.00000000,69790.65711000,69790.65711000
2023-08-17,209577.57824600,209963.97320800,183575.90360000,194207.12658600,28730.51000000,28783.48000000,25166.00000000,26623.41000000,100271.54033000,100271.54033000
